"Hour", "Element", "Normal Amps", "Emerg Amps", "% Normal", "% Emerg", "kVBase", "I1(A)", "I2(A)", "I3(A)"
300, "Transformer.MV-LV", 12.0968627830207, 16.4957219768464, 101.490911959929, 74.4266687706144, 11.5470053837925, 12.277216357029, 12.136333472716, 12.2374116560428 
1139, "Transformer.MV-LV", 12.0968627830207, 16.4957219768464, 106.249923461021, 77.9166105380823, 11.5470053837925, 12.8529074481443, 12.7020477549118, 12.8077202944542 
1331, "Transformer.MV-LV", 12.0968627830207, 16.4957219768464, 103.595741573641, 75.9702104873371, 11.5470053837925, 12.5318347072162, 12.3866027054542, 12.489886303322 
1332, "Transformer.MV-LV", 12.0968627830207, 16.4957219768464, 106.155103023115, 77.8470755502841, 11.5470053837925, 12.8414371498805, 12.6909475427654, 12.796623240734 
1355, "Transformer.MV-LV", 12.0968627830207, 16.4957219768464, 103.698091385643, 76.0452670161382, 11.5470053837925, 12.5442158235327, 12.3987684400129, 12.5021591663646 
1356, "Transformer.MV-LV", 12.0968627830207, 16.4957219768464, 105.735651077364, 77.5394774567336, 11.5470053837925, 12.7906966235623, 12.6410712495445, 12.746394003859 
2651, "Transformer.MV-LV", 12.0968627830207, 16.4957219768464, 109.651102717263, 80.410808659326, 11.5470053837925, 13.2643434357764, 13.1046575617382, 13.2158432883833 
2651, "Line.O3S5-O3S7", 213, 600, 100.039762285844, 35.5141156114747, 0.23094010767585, 213.084693668848, 206.922702350814, 207.286291345221 
2651, "Line.O3S7-O3S8", 213, 600, 100.936992082658, 35.8326321893437, 0.23094010767585, 214.995793136062, 208.862999425556, 209.231066666959 
2651, "Line.O3S8-O3S9", 213, 600, 101.047859288618, 35.8719900474593, 0.23094010767585, 215.231940284756, 209.103248565512, 209.47172345077 
2651, "Line.O3S9-O3S11", 213, 600, 101.22078560061, 35.9333788882164, 0.23094010767585, 215.600273329298, 209.471836718168, 209.840754774502 
2651, "Line.LV-O4S4", 213, 600, 102.18676165974, 36.2763003892078, 0.23094010767585, 217.657802335246, 214.442951785347, 214.269245337804 
2675, "Transformer.MV-LV", 12.0968627830207, 16.4957219768464, 107.83294057419, 79.0774897544062, 11.5470053837925, 13.0444028561561, 12.8897723766285, 12.9981509491602 
2675, "Line.LV-O4S4", 213, 600, 100.360545039193, 35.6279934889135, 0.23094010767585, 213.767960933481, 210.832591955975, 210.632451256523 
2986, "Transformer.MV-LV", 12.0968627830207, 16.4957219768464, 100.453591215404, 73.6659668912963, 11.5470053837925, 12.151733089944, 12.0136936390631, 12.1139313213416 
3275, "Transformer.MV-LV", 12.0968627830207, 16.4957219768464, 107.272135678428, 78.6662328308475, 11.5470053837925, 12.9765630574353, 12.8231304654464, 12.9296738690931 
3276, "Transformer.MV-LV", 12.0968627830207, 16.4957219768464, 108.941394757675, 79.8903561556281, 11.5470053837925, 13.1784910377448, 13.0208324119952, 13.1297342875359 
3276, "Line.O3S5-O3S7", 213, 600, 100.150883607381, 35.5535636806202, 0.23094010767585, 213.321382083721, 207.196377964539, 207.559970059947 
3276, "Line.O3S7-O3S8", 213, 600, 101.286531077951, 35.9567185326727, 0.23094010767585, 215.740311196036, 209.651836122349, 210.021175534206 
3276, "Line.O3S8-O3S9", 213, 600, 101.426892842222, 36.0065469589888, 0.23094010767585, 216.039281753933, 209.955934170429, 210.325796369587 
3276, "Line.O3S9-O3S11", 213, 600, 101.645368624176, 36.0841058615825, 0.23094010767585, 216.504635169495, 210.422544518406, 210.792975552147 
3276, "Line.LV-O4S4", 213, 600, 101.064530204842, 35.8779082227189, 0.23094010767585, 215.267449336313, 212.316942857141, 212.133239670693 
3420, "Transformer.MV-LV", 12.0968627830207, 16.4957219768464, 105.654698028288, 77.480111887411, 11.5470053837925, 12.7809038442969, 12.6309444027221, 12.7360983838294 
3421, "Transformer.MV-LV", 12.0968627830207, 16.4957219768464, 103.766877130459, 76.0957098956699, 11.5470053837925, 12.5525367406973, 12.4065341830932, 12.5098366921796 
5627, "Transformer.MV-LV", 12.0968627830207, 16.4957219768464, 100.156344146057, 73.4479857071087, 11.5470053837925, 12.1157755198386, 11.9778111080858, 12.0774814065342 
5628, "Transformer.MV-LV", 12.0968627830207, 16.4957219768464, 101.278797989283, 74.2711185254739, 11.5470053837925, 12.2515572210563, 12.1112093854883, 12.2121232169444 
5915, "Transformer.MV-LV", 12.0968627830207, 16.4957219768464, 102.231366324816, 74.9696686381986, 11.5470053837925, 12.3667881055203, 12.2252685991588, 12.3274854145841 
6227, "Transformer.MV-LV", 12.0968627830207, 16.4957219768464, 105.41622800204, 77.3052338681626, 11.5470053837925, 12.752056452443, 12.6037486106213, 12.7089752369554 
6228, "Transformer.MV-LV", 12.0968627830207, 16.4957219768464, 108.166998853433, 79.3224658258507, 11.5470053837925, 13.0848134278114, 12.9294475559591, 13.0388753666668 
6228, "Line.LV-O4S4", 213, 600, 100.847217464127, 35.8007621997651, 0.23094010767585, 214.804573198591, 211.785565626028, 211.562354324289 
6828, "Transformer.MV-LV", 12.0968627830207, 16.4957219768464, 101.903021309877, 74.7288822939099, 11.5470053837925, 12.3270686596082, 12.1860594031335, 12.2878817640742 
7236, "Transformer.MV-LV", 12.0968627830207, 16.4957219768464, 100.608133207892, 73.7792976857877, 11.5470053837925, 12.1704278227174, 12.032027303456, 12.1324051103443 
7380, "Transformer.MV-LV", 12.0968627830207, 16.4957219768464, 103.673385211627, 76.027149155193, 11.5470053837925, 12.541227151563, 12.3961224740951, 12.4996449532169 
8268, "Transformer.MV-LV", 12.0968627830207, 16.4957219768464, 101.700660358459, 74.5804842628703, 11.5470053837925, 12.3025893329888, 12.1613943894095, 12.2627538196104 
